site,slope
#2743801,6.956853497610237e-05
#2735701,0.0004050720044118305
#2735201,-0.0010797333149281992
#2735302,-0.0012234942327454118
#1112803,0.000371458904006779
#660202,0.000246930567398506
#664702,-0.0005991926300700692
#1112522,0.0002916867227777363
#1112901,0.00027423354482315147
#655615,-0.0007274914691492475
#1112701,0.00023442510883532608
#656404,-0.0007868507189467827
#661601,-0.00022462176320013627
#662101,0.0006421352818509994
#663601,-0.0009235508217411764
#664701,-0.0008591654630125902
#660502,6.025146454013974e-05
#654902,-0.0008857659377386334
#664404,-0.00040200871303996445
#655504,-0.0007131260800234031
#663802,-0.0005982911040428134
#653403,0.00028376489637545535
#653703,0.000673854490375627
#662501,0.00011205939386378302
#1112801,0.00048661740817871127
#1112802,0.0003413342081809746
#1176,-0.001986968815138217
#1181,-0.0006299684889185149
#1049104,-0.0009020777331128181
#1043905,-0.0022876228548990383
#1050901,-0.0005163076727826392
#1052410,-0.0007370413940981813
#1051704,-0.0005343622380065208
#1043402,-0.001430477672740224
#1043807,-0.0020770865874204653
#1059106,-0.0007895473761964185
#948902,-0.001112614318107566
#1050104,-0.0004478164243293314
#1050602,-0.0005099263211360274
#1057501,-0.00042328790346696406
#1059401,-0.0005019770440062091
#1059402,-0.0004543475166082847
#1059601,-0.0003285848006336113
#1058502,-0.000613420105149325
#1043501,-0.0008577630961950772
#964301,-0.0008233054483607243
#1051909,-0.0005093641027382578
#1051105,-0.0006213610832333342
#1049602,-0.0008553036465886558
#1049306,-0.0009892780282015484
#1049801,-0.0006302357725626768
#1059107,-0.0005042836925006899
#1059302,-0.000532184144127798
#1051119,-0.0005801465981682304
#1051311,-0.001389129826046347
#1051406,-0.0008460272568896875
#1051703,-0.0003960411098385963
#1051808,-0.000298184919033332
#1057103,-0.0005412410639936624
#1058201,-0.0008273004041745218
#1058701,0.0006012495715847551
#2803601,-0.0013294729605014097
#2812402,-0.0005184485202525402
#2803901,-0.0005941741611812622
#2804702,-0.0007034736949022816
#628601,-0.0005993196393146837
#638701,-0.0019274650468665833
#638811,-0.0030409346500128442
#636602,-0.0009745000612422877
#644311,-0.0018074428351772254
#645201,-0.002129738892997099
#646601,-0.0007999355966509525
#646701,-0.0007698174266005803
#652101,0.00030193756701117624
#628701,-0.0005615837688906153
#638601,-0.0005946487810209317
#647205,-0.00033390617883683263
#1048302,-0.002049654707803642
#1038401,-0.00373649333183005
#1030505,-0.0004640487749928198
#1030701,-0.0014567815530457454
#1030802,-0.0010144148291144472
#1040502,-0.0012082550844818782
#1022404,-0.0010585277630441071
#1022602,-0.00023222279514922665
#1024901,0.00022873165708258564
#1029302,-0.0003573736124716665
#1031601,-0.0002776129566662046
#1031803,-0.0021085354039707977
#1032201,-0.00025181438233836274
#1032703,-0.0005813631471775996
#1036301,-0.002594037972351736
#1037403,-0.0013292775783444143
#1038101,-0.0023180722238365405
#1038201,-0.002394084418085543
#1038603,-0.002585108344835059
#1038703,-0.004297366219107751
#1039702,-0.004550081232813856
#1039901,-0.0034418675842155695
#1040301,-0.0006445936633994558
#1048603,-0.0017601391872133845
#1039801,-0.0035697000773603285
#1037601,-0.004498887123087285
#1022203,-0.0006739150871358235
#1028301,-0.0009626601217230021
#1046302,-0.002187475278013891
#1032601,-0.00034608929002486605
#1031201,-0.0008259099736340654
#1029201,-0.0006457681800505436
#1037301,-0.0006869061697182335
#1022302,-0.00012897190619228296
#1022801,-0.0007023556844403169
#1040402,-0.001725200674537769
#1029603,-0.0021005201403168083
#1004,-0.0007135584328799779
#993,-0.0007311934835521512
#998,-0.0011029104179057368
#1008,0.0002730290925332113
#987,-0.0018776186555477595
#984,-0.0009895886143629108
#2411805,0.00014526681050601106
#2434401,-0.0008548206386751189
#2433703,-0.0013487139091819186
#2428401,-0.0004520857837518946
#2418102,-0.0007420868519524976
#2419902,-0.0005799068728016658
#2426501,-0.0006391169200974968
#2419301,-0.0006287678806425542
#2426101,0.00041728512769071205
#2411803,-0.00031971750908377575
#2410702,-0.0004736408566721681
#2418601,0.00023427652678988803
#2427301,-0.00044584416423474466
#2540601,-0.0008978730686309104
#2418103,-0.0003888943261280871
#2410503,7.716717800637998e-05
#2320509,-0.00043956946850035906
#2330402,0.0007179090978746
#2321801,-0.0009631812032016088
#2315701,-0.0002832463856752773
#2314602,-0.0006463854231179931
#2314403,-0.0007566233329390562
#2320305,-0.0008394991677779101
#2329602,0.0007768248583364633
#2328901,-0.000642017354277661
#2312902,-0.0008912519292967377
#2330502,0.00041960108133876767
#2330901,0.0007262157822252105
#2320201,-0.0006788871118182313
#2328310,-0.0006903131385026587
#2321101,-0.0006874188413576489
#2313502,-0.0009343710337993607
#2312801,-0.0015492599590886062
#2336301,0.0006784921501621043
#2316501,-0.00037135502272121756
#2329302,8.61508930163693e-05
#254802,0.0021760908927561523
#2716605,-0.000510950440552581
#2801801,0.0008250030116001288
#2724704,0.00031920170914158364
#2817702,0.0013347061709577724
#2803402,-0.0010801649497332575
#2801504,-0.0003559457451788507
#2707901,-0.0013343126181380623
#2707801,-0.0007391902471639814
#2809602,0.002508124362880927
#2802501,-0.0006988450095371745
#2818201,-0.000473515757315213
#2825903,-0.0013510755630391027
#2818902,-0.002058534859016154
#2818801,0.0006600315641648571
#2715201,-0.0015483845192199794
#2708801,-0.0014029004731618104
#2827801,-0.00059878461243466
#2732601,0.001459938694850409
#2818301,0.0006414372623963806
#2716702,-0.0007986455136173665
#2716201,-0.0005076467776345996
#2708602,-0.0006927176251862975
#2732101,0.0016362939200761362
#2731804,-0.0011854132534043745
#2716202,-0.0008818834753538535
#1013305,-0.0019321004434798821
#753701,-0.0008774614712608181
#762301,-0.00016416252444985402
#1003902,-0.0007004150518754859
#1013104,-0.0013271726263361441
#752616,-0.0004038259199813741
#754702,-0.00037985155348665284
#754901,-0.00032078497544003187
#755701,-0.0010233922691361141
#759501,-0.00034972268319662103
#759602,-0.0005146318012576208
#760201,-0.00032566267318432165
#760901,-0.0005959582728123289
#761601,-0.0003681380705250169
#761802,-0.0012463704996257072
#762502,-0.0004347159746079035
#762823,-0.0008617421858680436
#763702,-0.0007393056739101993
#1003903,-0.0010643480684746007
#1004202,-0.0007811153665003342
#1004301,-0.0013627998535805236
#1004504,-0.0007058190114477697
#1005225,-0.0007775950496933092
#1005905,-0.002020768652642871
#1006101,-0.001318552917143728
#1006302,-0.0004934792342492084
#1006403,-0.001014678441466332
#1006602,0.0005055837484608822
#1006909,0.0002586596515621181
#1007805,-0.0002140315014108815
#1011802,-0.0003783399228339257
#1012203,-0.00010713431010183488
#1012302,-0.0008853300981850123
#1012504,-0.0021122166651583313
#1013404,-0.0009204642247306709
#1013806,-0.0006334483643417113
#1014513,0.0
#1014206,-0.0005956499128839318
#1013307,-0.0021976237171674306
#1004603,-0.0006524233844712787
#760302,-0.00034517153289254435
#1014901,0.0
#1021201,-0.001048518467330081
#1009401,-0.0002861864088116589
#1004901,-0.0004791108135990904
#759301,-0.0006356259813217226
#1002301,-0.0002508805944981419
#759802,-0.00046059459690254295
#760401,-0.0005337451073146246
#761902,-0.0016556489296112257
#1003201,-0.0006059511280475174
#1005502,-0.0021548621443516075
#1201306,-0.001073696366996179
#1211404,-0.0005774781096858778
#557101,-0.0007175578270062193
#1203904,-0.001376702421095544
#550502,0.0003349014605439375
#559403,-0.0006177837328975393
#1202813,-0.00047919538646030123
#1202931,-0.0009264609460666686
#664501,-0.0008807599660182255
#1202812,-0.0010002252527908087
#1108203,-0.0009770984476160241
#1203207,-0.00022369745891423468
#1210218,-0.0002847631152339174
#664811,-0.002441938091298718
#1108308,-0.0009270828436821333
#1203807,-0.0007107226232878831
#1201624,-0.0007556098450751322
#551801,-0.0002539171746150544
#1108201,-0.0011794549980349602
#1201102,-0.0008040057436793525
#1201206,-0.0006082757215106222
#1201301,-0.0010318346680886544
#1201617,-0.0005931789447030794
#1201904,-0.000783167669387106
#1211310,-0.0009790182253631551
#2313303,-0.00046451682774967425
#1160605,-0.0013464103377317394
#1153205,-0.00011338695456167801
#2304602,-0.0019456369754940143
#2304603,-0.0022529532480635994
#2305803,-0.0014159804306306187
#2306113,-0.0001724450648584938
#2308701,-0.0003939672482086154
#2313302,-0.0018313289584964768
#1161204,-0.0005315890595658512
#1146606,-0.0003134260989842777
#1146802,1.0180019368970228e-05
#1160804,-0.0014138119231541478
#1160502,-0.0010395075887416963
#2306303,0.00015633647076704338
#2306503,-0.0007268913566177756
#2306601,-0.0004838389248015499
#2307901,-0.000540757241089514
#2306704,-0.0011767518165272297
#2307501,-0.0004174760769359194
#2305301,-0.0007151710384917052
#1147703,-0.0003156124488323756
#1160302,-0.0014161907143724877
#1145806,0.00018420952055687827
#1154101,-1.9809891256557244e-05
#1155501,3.8796905644594704e-05
#1160902,-0.0016657588993803391
#1161406,-0.0013192530076197393
#1161801,-0.0008469403800960163
#1162301,7.852429235474453e-05
#1163801,0.000201947917188465
#2304802,-0.0018239368421443455
#2305202,-0.0014784760528151388
#2305602,-0.0006699420745796929
#2307404,-0.00030483753906771285
#2314101,-0.0006374350024289099
#2710109,-0.0019272786968223786
#2726203,-0.0005213696158831299
#2711701,-0.0007510230134532454
#2705922,-0.000503390259560746
#2704720,-0.0006959529983466689
#2709812,-0.0012474813320032738
#2703501,-0.0003681407399166482
#2712201,-0.00042349375340157425
#2728301,-0.0014582078733174795
#2720504,-0.0009878789404423726
#2719514,-0.001396480353698399
#2719804,-0.0005407884918177883
#2703901,-0.0003680623087557733
#2616305,-0.0002036890968960675
#2616202,-0.003603226008883763
#2717604,-0.005322822345305317
#2713711,-0.0010588821712184185
#2727517,-0.0027313947968520963
#2720305,-0.0004753028659645626
#2718611,-0.0019621834657123707
#2727801,-0.001446768595607037
#2721301,-0.0011206278191151341
#2711916,-0.0005428040269346325
#2353703,-0.0005045022267637046
#2859703,-0.0017079167352446352
#526501,5.130264575028937e-05
#527802,-0.0004003401729620673
#534204,-0.0002755759270550995
#551304,-0.00039404063112079626
#536102,-0.0001903043480037843
#550204,-0.000768510293002028
#551303,-0.00028823197988430554
#542201,6.798175793850053e-05
#552111,-0.00020919202269616529
#632803,-0.00044159488867413776
#640501,-0.00045153738064297673
#656306,-0.0008996796970588278
#551101,-0.00017627265795706892
#527703,-0.0007703987289335934
#543703,-0.0001775932377855432
#527102,-0.0007894104971908761
#536201,-0.0002483003720965063
#640306,0.0005575724599313076
#1151303,-0.0002521753180282707
#1149101,-0.0010327953468447035
#1149404,-0.0005996010442342482
#1149801,-0.000782442462114119
#1150203,-0.000615929352022343
#1150204,-0.0011995949788003602
#1150605,-0.0007618736426498948
#1151102,-0.0010449786899551228
#1151104,-0.0004909531271815749
#1151703,-0.0007613948618482025
#2302104,-0.0012002640689076985
#2302501,-0.001905695544646896
#2302901,-0.0014994554730413546
#2303201,-0.0003365808618462241
#1141602,-0.0004286705749620232
#1158103,-0.0012479629004661062
#2408301,-0.0010732569236425824
#2303802,-0.0018977971404727772
#1159202,-0.0014556880985338774
#1157202,-0.0007029111348416904
#1158205,-0.0009559222547858015
#2304701,-0.00021706668310044613
#2303304,-0.0005007884027650291
#1151403,-0.0005274051771627199
#1157401,-0.0006723154041328415
#1056602,-0.0011132874224378322
#1056801,-0.0008678123079492051
#1159404,-0.0017713381114191351
#1159503,-0.0006990319589560362
#2312102,-0.0011284013220109624
#336401,-0.0012911611260376585
#352702,0.00407485325139879
#352804,-0.0029646609099946357
#353201,-0.0015669253925301302
#354301,-0.0007240227584797218
#338401,-0.001150910357128375
#339901,-0.0020174924374034495
#344703,-0.0032471640237090598
#352402,0.007005812189050831
#353101,-0.0025018447264303877
#344504,0.012697905783235923
#345304,-0.002498562883990703
#263702,-0.0015025899823998268
#713601,-0.0022343925164937696
#715104,-0.0031012722567740378
#723102,0.006833348124410464
#702301,-0.003885365919195201
#707101,-0.0008147701732368617
#712401,-0.0009718661683860596
#711601,0.005142033693206416
#259802,-0.005775958067561935
#717201,-0.002144257108375145
#258803,-0.0030351465546534393
#514505,0.00024628383763938236
#504302,-0.00035264162184218484
#523601,-0.00015529257695685254
#531305,-0.0004550601098965504
#507301,-0.0001988180701071266
#521402,0.0003725139095854881
#505801,-0.00021337704913502488
#516901,-0.00010190253614533882
#2440403,-0.00048543724265015433
#2429901,-0.0007004269202888318
#2424402,-0.000435288146152641
#2430801,-0.0006761901873590173
#2437101,1.0250531909552704e-05
#2423305,-0.0006059427216341846
#2414601,-0.00037635972697601383
#2422201,-0.00022364269944468232
#2420202,-0.0003098450138257977
#2415802,-0.0005796453560142495
#2437502,-0.00019101983612110351
#2421702,-0.00041008860736121283
#2420901,-0.0008780907168020671
#2420102,-0.00038566805162581347
#2430901,-0.0004086098511975611
#2420701,-0.00025074429281032873
#2414701,-0.0010005681705601635
#2415701,-0.0006771627427895749
#2439901,-0.00039617105099632594
#2428203,0.0004464770541851284
#2439302,-0.00046167398027075965
#2844507,-0.003925910051756782
#2835301,-0.0027320214551310555
#2846401,-0.0003909219285508443
#2837401,0.001907942382602423
#605601,-0.0022919965405803905
#362805,-0.0009224343972647573
#391006000000000,0.0005918628008716453
#391622000000000,0.0010021756322867743
#391822000000000,-0.0004234192508415389
#391544000000000,0.0004151194125969057
#381716000000000,-0.00047983107562388043
#383458000000000,0.00025093070963339795
#383448000000000,-0.00037424991355413176
#383839000000000,0.00022890209660633232
#381444000000000,0.0008234636510680931
#373917000000000,-0.0002664385597834028
#380131000000000,0.00045861839765859767
#375759000000000,0.0003314746867370091
#374717000000000,0.0003837522644151998
#381701000000000,0.000521497185706371
#373529000000000,0.0007947446369139634
#381725000000000,0.0003290155970739438
#373233000000000,0.00018852973422828938
#374908000000000,0.0003837156920834067
#372408000000000,0.0006100794527050729
#374653000000000,0.00022518327407280037
#373202000000000,0.0004133101622132195
#375910000000000,0.0004807938352545941
#382319000000000,0.000684975016694445
#382601000000000,0.001099749293177136
#380036000000000,0.0004541552869455158
#380712000000000,0.000559424307245568
#375801000000000,0.0004794277446662496
#381456000000000,0.0008148963813605564
#381109000000000,0.0007643372529185534
#374323000000000,0.00025158765712315163
#380338000000000,0.0004648008339803312
#370958000000000,-0.0015733071744089624
#372802000000000,-0.0006437757978380113
#375331000000000,-0.0020885204085250002
#373702000000000,-0.00039381729210868747
#372214000000000,-0.0023396904590123804
#375719000000000,0.0005006587907469724
#370217000000000,-0.0004014259111615572
#380510000000000,0.004287287160216893
#374544000000000,-0.0009245310741757187
#370322000000000,-0.000334548103576901
#371306000000000,-0.0012588861606299215
#373054000000000,-0.001405979020406253
#371621000000000,-0.001774002039464738
#373701000000000,0.00031925108725285554
#375454000000000,-0.0009942163616403106
#380344000000000,-0.0016798001856483612
#373528000000000,-0.00036087444696777937
#380005000000000,0.00036238298994535666
#374826000000000,-0.0027764882105912325
#371026000000000,-0.0019558686738639156
#978,0.0017600443288845503
#979,0.00042980580102402674
#803,-0.0011501610040457102
#809,0.0005324336861223886
#811,-0.0009249950155049303
#874,-0.0015815584377846942
#1040,-0.0009530627533777866
#902,0.0014698374173096867
#886,0.0008971103822137047
#849,-0.0010608969599142024
#796,-0.0013442172807626006
#797,0.0023632658389735857
#801,-0.0007884725446263372
#952,0.000948623108271115
#818,-0.001755742433290972
#1017,-0.001191246238482848
#752,-0.0003735454528080223
#840,-0.0006029996347904215
#821,0.004236045059188554
#881,-0.0010141810736578882
#1024,0.002378290972217146
#1035,-0.0016890567434115489
#866,0.0009026138754296507
#868,-0.0008954899007645291
#876,-0.00043310721244473396
#879,-0.0005081064308431358
#893,-0.0003663916669867581
#843,-0.0009316609704835693
#954,0.0001630165881173154
#949,0.0006885813030110692
#756,-0.00046827357414491906
#390740000000000,0.0001729791786587
#2406402,0.00039166807979738524
#2414301,0.0006953911069705037
#1053608,-0.0010277387670582436
#1055705,-0.0025355744606736647
#1055802,-0.001928854523307209
#1062603,-0.0005574708270864835
#1063601,-0.001091065614202696
#2414101,0.0003016525348398234
#1045702,-0.0007575044087614344
#2407101,-0.0003043803560212957
#1052601,-0.0007198728409912735
#1063801,-0.0003722241731830174
#1061201,-0.001571096411058414
#1045402,-0.0027753265686949607
#1046601,-0.0010461909336759393
#1053602,-0.0008762916203456123
#2408402,-0.0001956630306779927
#1062402,-0.0008611252442969133
#2405502,0.00024496792948817785
#2405102,-0.00039098089000031734
